Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,84,turkey,68,ukraine,29,iran,26,iraq,21,kenya,19,china,15,mexico,13,germany,10,israel,9,georgia,9,pakistan,7,france,7,poland,6,libya,6,egypt,5,ethiopia,4,jersey,4,italy,4,chile,3,ussr,3,colombia,3,brazil,3,malaysia,3,greece,3,jordan,3,cuba,2,venezuela,2,haiti,2,serbia,2
2017,russia,276,turkey,27,pakistan,20,china,17,germany,17,israel,16,ukraine,16,iran,15,india,13,kenya,12,ussr,12,mexico,12,jersey,10,france,9,north korea,6,brazil,5,canada,5,iraq,5,poland,4,georgia,4,cuba,4,greece,4,bulgaria,4,italy,4,jordan,3,spain,3,portugal,2,japan,2,lithuania,2,vietnam,2
2018,russia,298,israel,40,mexico,31,china,26,turkey,25,germany,25,france,20,hungary,17,kenya,14,pakistan,13,ukraine,13,india,10,jordan,8,iran,8,iraq,8,brazil,7,bahamas,6,honduras,6,italy,6,cuba,6,nigeria,5,north korea,5,netherlands,4,australia,3,austria,3,poland,3,romania,3,guatemala,3,ussr,3,uk,3
2019,ukraine,1377,russia,798,israel,40,china,31,france,20,iran,16,mexico,15,jordan,15,kenya,13,germany,10,italy,10,turkey,10,iraq,9,jersey,8,brazil,7,india,5,north korea,5,venezuela,5,south korea,4,zambia,4,gabon,4,afghanistan,4,philippines,4,pakistan,4,sweden,3,finland,3,samoa,3,colombia,3,poland,2,hungary,2
2020,china,453,russia,428,ukraine,248,georgia,164,germany,90,france,39,iran,34,india,21,turkey,21,israel,18,venezuela,17,kenya,16,jordan,16,pakistan,15,brazil,12,italy,11,canada,8,australia,7,mexico,7,jersey,7,netherlands,7,cuba,6,spain,6,japan,5,belgium,5,nigeria,5,ireland,5,singapore,4,switzerland,3,uruguay,3
2021,georgia,241,china,177,russia,100,germany,84,france,55,brazil,35,ukraine,24,italy,22,israel,20,pakistan,17,venezuela,16,poland,15,iran,14,jersey,11,mexico,10,south korea,10,jordan,10,turkey,9,hungary,9,north korea,8,afghanistan,7,australia,6,japan,6,india,5,iraq,5,bulgaria,5,netherlands,5,romania,5,guinea,5,vietnam,5
2022,russia,390,ukraine,253,georgia,144,china,141,germany,105,france,48,iran,24,israel,22,brazil,21,canada,18,mexico,18,india,17,jordan,12,italy,11,venezuela,10,pakistan,10,azerbaijan,8,afghanistan,8,japan,7,iraq,7,algeria,6,belarus,6,poland,4,guinea,4,taiwan,4,australia,3,switzerland,3,bangladesh,2,albania,2,south korea,2
2023,china,136,russia,122,georgia,79,ukraine,76,israel,35,brazil,30,jordan,27,germany,24,tunisia,19,mexico,19,france,16,india,9,australia,9,jersey,7,canada,6,venezuela,6,pakistan,6,italy,5,argentina,5,turkey,4,taiwan,4,vietnam,4,netherlands,3,slovakia,3,poland,3,qatar,2,mali,2,jamaica,2,ireland,2,afghanistan,2
2024,russia,173,ukraine,98,china,64,georgia,62,israel,47,france,30,germany,29,india,22,pakistan,18,iran,16,mexico,13,south korea,9,brazil,7,hungary,6,kenya,6,haiti,5,jordan,4,egypt,4,slovakia,4,jersey,3,panama,3,guinea,3,turkey,3,lebanon,2,rwanda,2,algeria,2,canada,2,cuba,2,uk,2,greece,2
